,country,device_type,traffic_source,payment_method,product_category,customer_age_days,previous_orders,avg_order_value_eur,order_value_eur,quantity,discount_rate,shipping_distance_km,delivery_days_estimated,late_delivery_risk,address_mismatch,high_risk_ip,review_score
5651,Netherlands,Desktop,Direct,PayPal,Home & Kitchen,223,1,48.49,53.1,1,0.1,247.6,4,0,0,0,4.8
5652,Netherlands,Mobile,Marketplace,Credit Card,Sports,97,0,38.85,51.57,1,0.07,531.4,4,0,0,0,4.8
5653,Spain,Desktop,Organic Search,Gift Card,Electronics,151,1,83.05,173.58,1,0.28,179.0,2,0,0,0,3.3
5654,Belgium,Mobile,Email,PayPal,Fashion,146,1,68.22,35.41,2,0.08,854.8,5,0,0,0,4.7
5655,Belgium,Mobile,Organic Search,Credit Card,Garden,305,1,42.81,62.14,1,0.17,474.7,3,0,0,0,4.2
5656,Belgium,Mobile,Organic Search,Debit Card,Beauty,74,0,35.27,34.11,2,0.07,419.2,4,0,0,0,4.9
5657,Netherlands,Mobile,Organic Search,Klarna,Home & Kitchen,514,1,42.18,29.91,1,0.15,243.9,3,0,0,0,4.9
5658,Spain,Mobile,Marketplace,Credit Card,Home & Kitchen,908,7,31.86,35.82,2,0.15,213.6,4,0,0,0,4.7
5659,Netherlands,Mobile,Social Media,Debit Card,Home & Kitchen,158,1,54.54,170.06,1,0.24,281.0,4,0,0,0,4.8
5661,Italy,Mobile,Paid Ads,PayPal,Sports,218,4,24.82,26.09,1,0.32,597.1,3,0,0,0,4.4
5662,Netherlands,Mobile,Organic Search,Bank Transfer,Fashion,231,1,21.06,25.84,3,0.19,50.4,5,0,1,0,4.8
5663,Italy,Desktop,Social Media,Klarna,Pet Supplies,159,1,23.43,18.72,4,0.25,409.3,2,0,0,0,4.6
5664,Poland,Desktop,Paid Ads,Credit Card,Beauty,484,0,36.54,19.72,1,0.14,443.8,3,0,0,1,4.1
5665,Italy,Mobile,Direct,PayPal,Garden,208,1,47.4,36.63,1,0.21,962.7,6,1,0,0,4.2
5666,Belgium,Desktop,Organic Search,PayPal,Toys,604,3,42.74,29.57,1,0.31,88.3,4,0,1,0,5.0
5667,Poland,Mobile,Paid Ads,Gift Card,Toys,314,1,32.98,15.05,2,0.02,425.8,4,0,0,1,5.0
5668,Poland,Mobile,Social Media,Bank Transfer,Sports,169,1,51.35,73.77,4,0.06,680.0,5,0,0,0,4.7
5669,Netherlands,Mobile,Paid Ads,Bank Transfer,Fashion,150,1,60.56,52.53,1,0.06,560.8,3,0,0,0,4.5
5670,Poland,Mobile,Marketplace,Debit Card,Toys,328,1,35.23,35.92,2,0.1,183.3,4,0,0,0,5.0
5671,Spain,Desktop,Marketplace,Credit Card,Toys,428,4,27.36,20.04,2,0.06,1281.5,5,1,0,0,3.7
5672,Netherlands,Mobile,Organic Search,Debit Card,Garden,311,0,35.55,57.13,1,0.09,340.3,5,0,0,0,3.9
5673,Netherlands,Mobile,Social Media,PayPal,Pet Supplies,575,4,27.09,40.71,2,0.03,480.3,3,0,0,0,4.7
5674,Netherlands,Mobile,Paid Ads,PayPal,Home & Kitchen,266,1,84.78,132.73,2,0.09,929.2,4,0,0,0,5.0
5675,Turkey,Mobile,Organic Search,Credit Card,Home & Kitchen,943,1,21.7,37.76,1,0.14,154.0,4,0,0,0,4.7
5676,Germany,Mobile,Social Media,Credit Card,Toys,127,0,34.29,26.03,1,0.05,153.2,4,0,0,0,4.9
5677,Netherlands,Mobile,Organic Search,PayPal,Pet Supplies,466,2,16.5,34.88,1,0.1,313.2,5,0,0,0,4.9
5678,France,Mobile,Direct,Klarna,Sports,21,0,162.62,243.52,2,0.05,222.4,3,0,0,0,4.7
5679,Belgium,Mobile,Social Media,Klarna,Beauty,80,0,69.54,59.41,1,0.09,328.8,5,0,0,0,4.7
5681,Turkey,Mobile,Social Media,Klarna,Sports,236,2,99.99,151.36,1,0.02,136.6,3,0,0,0,3.9
5683,Netherlands,Mobile,Social Media,Debit Card,Fashion,678,4,63.72,47.02,1,0.05,944.0,5,0,0,0,5.0
5684,Belgium,Mobile,Social Media,Credit Card,Toys,609,3,58.07,28.64,1,0.06,436.9,4,0,0,0,4.4
5685,Netherlands,Desktop,Social Media,Bank Transfer,Sports,622,3,39.76,58.49,1,0.09,819.3,5,0,0,0,4.6
5686,Netherlands,Mobile,Social Media,Credit Card,Pet Supplies,226,1,42.22,57.8,1,0.53,353.7,3,0,0,0,4.4
5687,France,Desktop,Direct,Credit Card,Sports,55,0,33.17,24.1,1,0.16,693.0,4,0,0,0,4.7
5688,Italy,Mobile,Email,Debit Card,Beauty,787,4,30.21,16.21,1,0.02,455.1,4,0,0,0,4.7
5689,Belgium,Mobile,Paid Ads,PayPal,Electronics,284,2,45.32,49.22,1,0.0,605.7,7,0,0,0,4.3
5690,Spain,Mobile,Paid Ads,Debit Card,Home & Kitchen,412,1,57.69,31.93,1,0.51,334.9,5,0,0,0,4.6
5691,Germany,Tablet,Social Media,Klarna,Fashion,277,4,59.2,103.8,5,0.11,320.5,4,0,0,0,4.8
5692,Poland,Mobile,Organic Search,Debit Card,Home & Kitchen,221,0,39.24,51.75,1,0.06,598.2,4,0,0,0,5.0
5693,France,Desktop,Paid Ads,Klarna,Electronics,317,2,97.03,174.31,7,0.29,738.5,4,0,0,0,3.3
5695,Germany,Mobile,Social Media,Klarna,Fashion,587,4,56.17,73.0,3,0.18,1271.0,8,1,1,0,3.9
5696,Turkey,Mobile,Organic Search,PayPal,Toys,664,4,17.61,23.64,1,0.28,153.4,5,0,0,0,4.4
5697,Netherlands,Mobile,Direct,Debit Card,Beauty,162,5,28.55,26.68,3,0.01,202.0,5,0,0,0,4.5
5698,Belgium,Mobile,Direct,Bank Transfer,Home & Kitchen,245,0,25.59,65.5,2,0.11,185.7,4,0,0,0,3.9
5699,France,Desktop,Email,PayPal,Toys,19,0,49.05,40.58,2,0.31,226.7,3,0,0,0,4.3
5700,Belgium,Mobile,Social Media,Debit Card,Home & Kitchen,81,1,17.42,35.9,1,0.04,129.9,3,0,0,0,4.3
5701,Netherlands,Desktop,Organic Search,Klarna,Sports,429,3,59.02,49.58,1,0.08,338.5,4,0,0,0,5.0
5702,Italy,Desktop,Organic Search,Klarna,Toys,306,4,44.37,28.71,4,0.12,493.4,4,0,0,0,4.5
5703,Belgium,Mobile,Organic Search,Klarna,Home & Kitchen,130,1,58.72,98.2,2,0.13,1256.0,5,0,0,0,4.5
5704,Germany,Desktop,Direct,Credit Card,Home & Kitchen,508,0,59.5,58.75,1,0.01,305.3,5,0,0,0,4.6
5705,Netherlands,Mobile,Paid Ads,Debit Card,Sports,281,2,32.98,32.72,2,0.09,1045.8,6,1,0,0,4.0
5707,Poland,Desktop,Organic Search,Credit Card,Garden,264,2,47.19,72.46,4,0.09,273.8,4,0,0,0,4.4
5708,Turkey,Mobile,Marketplace,Klarna,Garden,328,6,96.8,91.86,2,0.09,428.2,6,0,0,0,3.8
5709,France,Mobile,Paid Ads,Klarna,Home & Kitchen,101,0,41.19,49.81,1,0.24,392.0,3,0,0,0,4.1
5710,Spain,Desktop,Organic Search,Credit Card,Sports,124,0,61.84,47.33,2,0.13,389.0,3,0,0,0,5.0
5711,Netherlands,Desktop,Organic Search,Credit Card,Toys,286,4,110.5,33.48,7,0.05,315.7,2,0,0,0,4.2
5712,Belgium,Tablet,Organic Search,PayPal,Beauty,209,2,28.33,33.66,2,0.09,430.4,5,0,0,0,4.4
5713,Germany,Desktop,Direct,Debit Card,Home & Kitchen,23,1,43.76,37.39,2,0.01,1256.8,5,0,0,0,4.3
5714,Netherlands,Mobile,Organic Search,Klarna,Toys,439,4,42.5,54.66,4,0.03,630.9,5,0,0,0,3.7
5715,France,Mobile,Paid Ads,Debit Card,Pet Supplies,457,1,35.42,19.41,1,0.46,2110.9,8,1,0,0,3.7
5716,Turkey,Mobile,Paid Ads,PayPal,Pet Supplies,209,1,50.54,30.7,3,0.16,362.8,5,0,0,0,4.2
5717,Netherlands,Tablet,Organic Search,Credit Card,Garden,383,6,74.28,189.43,1,0.01,489.1,4,0,0,0,4.2
5718,France,Desktop,Social Media,Debit Card,Home & Kitchen,392,2,30.95,58.38,2,0.4,805.9,3,0,0,0,5.0
5719,Spain,Desktop,Social Media,Bank Transfer,Sports,154,0,88.97,113.57,1,0.21,981.1,6,1,0,0,5.0
5720,Germany,Mobile,Paid Ads,Credit Card,Sports,161,0,100.43,57.15,1,0.26,221.1,6,0,0,0,3.9
5721,Germany,Mobile,Paid Ads,Credit Card,Toys,257,1,36.83,33.5,4,0.13,101.5,3,0,0,0,5.0
5722,Germany,Mobile,Direct,PayPal,Toys,647,3,23.79,12.55,3,0.15,1001.5,5,0,0,0,5.0
5723,Netherlands,Mobile,Social Media,Credit Card,Toys,858,5,112.67,154.73,1,0.39,25.2,4,0,0,0,4.8
5724,Belgium,Desktop,Organic Search,Credit Card,Beauty,424,2,28.89,31.19,1,0.08,170.2,4,0,0,0,5.0
5725,Germany,Tablet,Organic Search,Debit Card,Toys,25,1,54.78,53.33,2,0.1,246.4,4,0,0,0,5.0
5726,Netherlands,Desktop,Email,Bank Transfer,Pet Supplies,53,0,36.16,19.07,1,0.12,672.6,4,0,0,1,3.6
5727,Poland,Desktop,Direct,Credit Card,Fashion,497,1,146.36,115.1,2,0.01,1280.7,5,0,0,0,2.9
5728,Poland,Mobile,Social Media,Klarna,Garden,320,3,130.44,180.24,1,0.08,146.9,3,0,1,0,4.9
5729,Germany,Mobile,Social Media,Klarna,Home & Kitchen,964,4,268.68,198.31,1,0.04,441.7,5,0,0,0,4.7
5730,Spain,Mobile,Direct,Credit Card,Sports,285,1,42.01,37.72,3,0.24,85.9,2,0,0,0,5.0
5731,France,Mobile,Paid Ads,Klarna,Electronics,813,5,158.0,200.31,1,0.12,321.4,3,0,0,0,4.7
5732,Poland,Mobile,Social Media,Klarna,Beauty,192,1,37.56,11.4,1,0.04,867.4,3,0,0,0,3.9
5733,Spain,Mobile,Social Media,Credit Card,Home & Kitchen,425,3,55.51,39.2,1,0.02,672.9,3,0,0,0,5.0
5734,Germany,Mobile,Organic Search,PayPal,Garden,194,1,29.07,43.25,1,0.3,395.0,3,0,0,0,4.7
5735,Germany,Desktop,Direct,Credit Card,Pet Supplies,113,1,16.01,5.85,1,0.32,152.3,4,0,0,0,5.0
5736,Belgium,Tablet,Social Media,Debit Card,Electronics,439,2,14.41,65.36,1,0.17,990.1,5,0,0,0,4.7
5737,Germany,Mobile,Organic Search,Klarna,Pet Supplies,89,1,40.69,30.44,8,0.07,420.7,4,0,0,0,4.5
5738,Belgium,Mobile,Direct,Debit Card,Beauty,262,3,26.44,21.29,4,0.19,309.9,3,0,0,0,4.9
5739,Belgium,Mobile,Organic Search,Credit Card,Fashion,297,1,23.81,23.99,4,0.06,459.9,4,0,0,0,4.6
5741,Netherlands,Mobile,Social Media,Credit Card,Electronics,292,1,33.01,50.97,2,0.21,278.0,2,0,0,0,3.8
5742,Netherlands,Mobile,Social Media,Bank Transfer,Fashion,429,4,36.02,21.23,1,0.19,778.4,5,0,0,0,4.5
5743,Turkey,Desktop,Organic Search,Debit Card,Home & Kitchen,334,2,50.87,108.17,1,0.32,253.4,3,0,0,0,4.3
5744,Germany,Mobile,Social Media,Debit Card,Garden,382,5,64.35,78.77,1,0.1,682.3,5,0,0,0,4.9
5745,Belgium,Mobile,Organic Search,Bank Transfer,Toys,368,3,61.26,27.64,5,0.14,1209.2,5,0,1,0,4.4
5746,Italy,Mobile,Social Media,Credit Card,Fashion,149,0,96.94,128.14,1,0.16,349.8,3,0,0,0,4.5
5747,Spain,Mobile,Marketplace,Gift Card,Home & Kitchen,537,4,51.44,64.36,1,0.21,796.5,5,0,0,0,4.7
5748,Germany,Mobile,Marketplace,PayPal,Home & Kitchen,269,2,41.68,90.43,1,0.06,183.1,5,0,0,0,5.0
5749,Italy,Desktop,Organic Search,Credit Card,Fashion,100,0,142.87,78.74,1,0.04,674.1,7,0,0,0,4.5
5750,Turkey,Desktop,Direct,PayPal,Toys,25,0,18.28,18.08,3,0.03,509.3,4,0,0,0,4.9
5751,Netherlands,Mobile,Organic Search,Credit Card,Pet Supplies,383,4,113.96,57.67,6,0.04,142.3,3,0,0,0,2.7
5752,Germany,Desktop,Email,Debit Card,Home & Kitchen,249,2,53.69,68.09,2,0.1,77.6,3,0,0,0,5.0
5753,Italy,Mobile,Email,Klarna,Electronics,906,6,19.46,26.07,4,0.14,549.6,2,0,0,0,5.0
5754,Netherlands,Mobile,Organic Search,Gift Card,Home & Kitchen,265,1,20.22,25.14,2,0.22,1336.1,7,1,0,0,3.5
5755,Poland,Tablet,Paid Ads,Debit Card,Fashion,551,5,16.78,11.83,1,0.06,66.4,3,0,0,0,4.4
5756,Germany,Desktop,Organic Search,PayPal,Toys,380,3,50.29,53.41,1,0.38,157.4,5,0,0,0,4.1
5757,Spain,Desktop,Social Media,Debit Card,Toys,621,3,85.65,56.69,1,0.08,461.3,5,0,0,0,3.7
5758,France,Desktop,Organic Search,PayPal,Garden,276,2,64.64,67.61,2,0.06,540.1,4,0,0,0,4.5
5759,Poland,Mobile,Paid Ads,PayPal,Home & Kitchen,232,2,117.65,84.43,1,0.08,285.6,3,0,0,0,5.0
5760,Netherlands,Mobile,Social Media,PayPal,Garden,228,1,65.42,60.32,3,0.25,140.2,4,0,0,0,4.2
5761,Germany,Mobile,Social Media,Credit Card,Fashion,760,6,37.58,19.9,1,0.14,376.1,4,0,0,0,5.0
5762,Netherlands,Mobile,Organic Search,Credit Card,Sports,65,0,20.62,12.3,1,0.08,864.4,4,0,0,0,4.6
5763,Spain,Mobile,Marketplace,Klarna,Fashion,479,0,71.41,14.52,1,0.31,884.7,5,0,0,0,3.1
5764,Netherlands,Mobile,Paid Ads,Credit Card,Toys,766,2,45.23,35.82,2,0.16,287.3,3,0,0,0,4.8
5765,Germany,Mobile,Organic Search,Debit Card,Sports,34,0,23.72,39.95,1,0.06,354.4,5,0,0,0,4.5
5766,France,Desktop,Organic Search,Debit Card,Sports,403,4,95.57,130.86,1,0.06,849.2,5,0,1,0,4.5
5767,Germany,Desktop,Organic Search,Credit Card,Electronics,562,3,54.62,87.04,2,0.09,261.0,4,0,0,0,3.5
5768,Poland,Mobile,Marketplace,Credit Card,Pet Supplies,204,1,24.84,5.49,2,0.15,662.6,5,0,0,0,3.9
5769,France,Desktop,Direct,Bank Transfer,Pet Supplies,674,4,48.94,39.26,7,0.11,59.9,2,0,0,0,4.7
5770,Italy,Mobile,Marketplace,Credit Card,Pet Supplies,821,3,122.29,60.07,1,0.11,381.2,5,0,0,0,4.1
5772,Italy,Tablet,Direct,Credit Card,Pet Supplies,112,0,67.72,93.61,1,0.01,706.6,4,0,0,0,3.8
5773,Poland,Mobile,Paid Ads,Debit Card,Electronics,348,3,67.83,84.94,3,0.25,220.2,2,0,0,0,4.0
5774,Netherlands,Tablet,Social Media,Klarna,Home & Kitchen,219,1,40.2,23.35,4,0.08,421.5,4,0,0,0,3.8
5775,Netherlands,Mobile,Organic Search,PayPal,Electronics,234,1,76.05,196.16,1,0.13,543.0,3,0,0,0,5.0
5776,Netherlands,Mobile,Social Media,Klarna,Electronics,249,1,34.79,77.82,1,0.16,645.8,4,0,0,0,5.0
5777,Turkey,Mobile,Social Media,Klarna,Home & Kitchen,99,0,43.07,48.33,1,0.09,519.7,6,0,0,0,4.7
5778,France,Desktop,Direct,Debit Card,Pet Supplies,283,2,75.32,77.31,1,0.16,616.1,5,0,0,0,4.3
5779,Belgium,Mobile,Organic Search,Klarna,Sports,128,1,121.9,132.41,2,0.02,322.7,4,0,0,0,4.0
5780,Netherlands,Mobile,Social Media,Debit Card,Electronics,30,0,82.72,334.79,1,0.07,131.2,3,0,0,0,5.0
5781,Belgium,Desktop,Organic Search,Credit Card,Toys,372,3,18.92,9.37,2,0.13,556.6,5,0,0,0,5.0
5782,Poland,Mobile,Social Media,Credit Card,Beauty,241,4,51.2,16.67,1,0.23,482.4,3,0,0,0,4.6
5783,Netherlands,Mobile,Paid Ads,Debit Card,Home & Kitchen,250,0,145.0,231.65,3,0.43,559.0,4,0,1,1,5.0
5784,Poland,Desktop,Direct,Credit Card,Electronics,361,1,12.53,23.72,5,0.28,550.2,4,0,0,0,4.6
5785,Netherlands,Mobile,Social Media,Gift Card,Garden,439,2,31.65,34.08,6,0.07,70.3,3,0,0,0,4.7
5786,France,Mobile,Direct,PayPal,Electronics,277,2,103.04,75.64,1,0.07,416.9,4,0,0,0,4.5
5787,Netherlands,Mobile,Organic Search,Klarna,Home & Kitchen,494,4,28.15,97.45,2,0.1,266.6,4,0,0,0,4.2
5788,Belgium,Mobile,Organic Search,Debit Card,Pet Supplies,756,1,49.45,25.87,1,0.17,401.9,4,0,0,0,5.0
5789,France,Mobile,Paid Ads,Bank Transfer,Sports,175,0,42.55,73.12,1,0.01,246.9,3,0,0,0,4.2
5790,Poland,Mobile,Social Media,Credit Card,Garden,690,2,27.87,52.15,1,0.18,1077.4,6,1,0,0,4.9
5791,Netherlands,Mobile,Marketplace,PayPal,Electronics,188,2,22.67,61.16,1,0.11,244.1,5,0,0,0,4.8
5792,France,Desktop,Direct,Debit Card,Electronics,368,2,58.43,136.02,2,0.1,598.6,5,0,1,0,4.7
5793,Netherlands,Mobile,Paid Ads,PayPal,Toys,577,3,32.96,18.36,2,0.03,135.2,2,0,0,0,5.0
5794,France,Tablet,Direct,Credit Card,Beauty,265,0,38.66,12.66,3,0.04,840.9,4,0,0,0,4.7
5795,France,Mobile,Paid Ads,Credit Card,Home & Kitchen,584,5,21.67,37.78,2,0.35,647.5,4,0,0,0,4.7
5796,Belgium,Mobile,Direct,Credit Card,Electronics,272,0,28.05,89.73,2,0.39,703.6,3,0,0,0,3.9
5798,Poland,Tablet,Organic Search,Klarna,Garden,122,1,26.15,36.16,3,0.14,191.6,4,0,0,0,4.3
5799,Spain,Desktop,Marketplace,Klarna,Electronics,277,0,26.34,26.09,1,0.05,1288.6,8,1,0,0,2.7
5800,Netherlands,Desktop,Email,PayPal,Garden,113,1,61.3,40.41,1,0.06,732.7,4,0,0,0,4.9
5801,Netherlands,Desktop,Organic Search,Debit Card,Home & Kitchen,465,8,43.05,68.66,5,0.37,551.3,5,0,0,0,4.4
5802,Italy,Mobile,Organic Search,Gift Card,Sports,213,0,19.88,13.24,3,0.14,58.1,3,0,1,0,4.6
5803,Germany,Tablet,Paid Ads,Debit Card,Beauty,169,2,38.74,35.83,1,0.29,100.0,4,0,0,0,5.0
5804,France,Mobile,Direct,Credit Card,Sports,871,6,82.77,117.9,5,0.21,633.0,4,0,0,0,4.9
5805,Netherlands,Mobile,Email,PayPal,Electronics,261,2,24.25,88.19,2,0.07,1061.9,5,0,0,0,5.0
5806,Belgium,Mobile,Social Media,Debit Card,Home & Kitchen,190,2,46.44,81.62,1,0.17,434.3,4,0,0,0,4.5
5807,Netherlands,Mobile,Marketplace,Debit Card,Beauty,217,1,22.83,16.58,1,0.01,282.2,5,0,0,0,4.7
5808,Spain,Desktop,Organic Search,Credit Card,Toys,142,0,16.18,13.0,6,0.08,523.3,4,0,0,0,4.7
5809,Netherlands,Mobile,Direct,Klarna,Garden,108,0,108.39,137.36,1,0.19,170.9,3,0,0,0,4.5
5810,Italy,Desktop,Social Media,Debit Card,Garden,117,2,33.36,22.95,1,0.02,124.3,2,0,0,0,4.7
5811,Poland,Mobile,Direct,Debit Card,Garden,85,1,14.16,10.17,2,0.07,880.7,5,0,0,0,3.9
5812,Germany,Desktop,Organic Search,Credit Card,Toys,261,4,21.83,5.85,2,0.34,441.3,4,0,0,0,4.5
5813,Netherlands,Mobile,Direct,Credit Card,Toys,316,1,34.45,25.03,2,0.12,298.6,3,0,0,0,4.2
5814,Italy,Mobile,Marketplace,Debit Card,Electronics,164,1,39.08,112.03,1,0.19,405.0,6,0,0,0,4.5
5815,Netherlands,Desktop,Email,Credit Card,Home & Kitchen,336,3,15.53,19.4,1,0.17,342.3,3,0,0,0,4.1
5816,Spain,Desktop,Direct,Credit Card,Pet Supplies,542,2,20.23,16.6,4,0.33,424.8,3,0,0,0,3.4
5817,Netherlands,Mobile,Social Media,PayPal,Beauty,320,1,30.87,13.35,3,0.38,381.9,4,0,0,0,4.7
5818,Italy,Mobile,Paid Ads,Credit Card,Toys,328,2,13.79,19.26,1,0.07,279.4,6,0,0,0,4.5
5819,France,Mobile,Social Media,Credit Card,Home & Kitchen,108,0,27.27,44.18,2,0.23,320.2,4,0,0,0,4.3
5820,Poland,Desktop,Organic Search,Credit Card,Beauty,193,0,97.85,120.69,8,0.12,540.8,4,0,0,0,5.0
5821,Netherlands,Tablet,Organic Search,Klarna,Garden,162,3,31.37,27.52,3,0.02,648.3,5,0,0,0,5.0
5822,Belgium,Mobile,Organic Search,PayPal,Electronics,417,2,31.42,49.24,3,0.12,446.7,6,0,0,0,4.8
5823,Germany,Mobile,Paid Ads,Debit Card,Home & Kitchen,218,0,26.38,22.85,3,0.28,155.6,4,0,0,0,5.0
5824,Netherlands,Desktop,Organic Search,PayPal,Fashion,369,1,34.95,18.34,1,0.04,410.8,5,0,0,0,5.0
5825,Germany,Mobile,Organic Search,PayPal,Toys,87,1,27.49,40.68,1,0.09,1805.1,6,1,0,0,3.7
5826,Netherlands,Mobile,Paid Ads,Credit Card,Beauty,127,2,43.11,24.91,1,0.01,262.1,4,0,0,0,5.0
5827,Belgium,Desktop,Direct,Credit Card,Electronics,254,1,53.84,247.17,2,0.34,365.8,4,0,0,0,3.7
5828,Netherlands,Mobile,Direct,Bank Transfer,Garden,162,2,57.07,107.53,2,0.19,701.5,5,0,0,0,5.0
5829,Italy,Mobile,Paid Ads,PayPal,Sports,226,2,28.35,27.48,3,0.02,470.3,2,0,0,0,5.0
5830,Poland,Mobile,Paid Ads,Bank Transfer,Fashion,222,2,32.25,26.31,3,0.26,1167.4,3,0,0,0,4.3
5831,Germany,Desktop,Marketplace,Credit Card,Home & Kitchen,271,1,109.98,187.37,3,0.02,178.7,4,0,0,0,4.7
5832,Germany,Mobile,Email,Credit Card,Sports,82,1,42.4,37.52,4,0.01,1254.2,6,1,0,0,2.3
5833,France,Mobile,Social Media,Klarna,Pet Supplies,224,1,38.92,65.46,1,0.52,753.0,5,0,0,0,4.5
5834,Turkey,Desktop,Organic Search,PayPal,Home & Kitchen,554,2,51.58,59.0,3,0.17,384.3,5,0,0,0,4.2
5836,Netherlands,Desktop,Email,PayPal,Fashion,504,5,37.06,28.09,1,0.03,232.0,4,0,0,0,4.5
5837,Italy,Mobile,Marketplace,Credit Card,Garden,545,3,61.32,25.55,2,0.04,450.1,3,0,0,0,4.6
5838,Poland,Mobile,Paid Ads,Credit Card,Beauty,220,2,77.17,89.8,1,0.33,128.0,4,0,0,0,4.4
5839,Netherlands,Mobile,Marketplace,Debit Card,Electronics,182,0,42.03,163.24,1,0.33,374.2,4,0,0,0,4.0
5840,Belgium,Desktop,Marketplace,PayPal,Beauty,337,3,16.37,5.0,2,0.07,989.6,5,0,0,0,4.7
5841,Netherlands,Mobile,Organic Search,Bank Transfer,Home & Kitchen,403,0,50.3,48.82,4,0.1,325.3,4,0,0,0,5.0
5842,Poland,Mobile,Social Media,Debit Card,Beauty,600,5,36.14,130.25,3,0.21,256.2,3,0,0,0,4.3
5843,Spain,Tablet,Direct,Bank Transfer,Fashion,307,3,61.0,117.49,1,0.1,313.5,3,0,0,0,5.0
5844,Germany,Tablet,Paid Ads,PayPal,Home & Kitchen,288,2,20.94,70.38,2,0.09,222.6,3,0,0,0,4.2
5845,Poland,Mobile,Organic Search,Debit Card,Electronics,51,1,61.02,115.34,1,0.06,451.8,3,0,0,0,4.3
5846,Turkey,Desktop,Paid Ads,Debit Card,Pet Supplies,565,2,76.86,53.25,3,0.03,251.9,4,0,0,0,4.3
5848,Germany,Desktop,Marketplace,Credit Card,Pet Supplies,215,1,64.57,46.7,1,0.24,395.3,6,0,0,0,4.8
5849,Italy,Mobile,Organic Search,Credit Card,Electronics,307,3,142.03,290.33,3,0.33,1141.4,5,1,0,0,3.7
5850,France,Desktop,Marketplace,PayPal,Home & Kitchen,465,3,40.89,50.48,3,0.27,181.5,4,0,1,0,4.0
5852,Belgium,Desktop,Social Media,PayPal,Sports,65,0,64.62,71.47,1,0.08,887.2,4,0,0,0,4.9
5854,France,Mobile,Paid Ads,Credit Card,Home & Kitchen,133,0,101.63,85.78,1,0.04,417.4,3,0,0,0,5.0
5855,Netherlands,Mobile,Email,Credit Card,Home & Kitchen,442,4,85.67,103.92,4,0.16,750.0,6,0,0,0,4.6
5856,Netherlands,Mobile,Marketplace,Credit Card,Home & Kitchen,169,1,45.26,102.58,1,0.05,326.6,5,0,0,0,4.5
5857,Netherlands,Desktop,Marketplace,Gift Card,Garden,138,0,84.54,38.05,1,0.07,572.1,4,0,1,0,4.9
5858,Italy,Mobile,Paid Ads,Bank Transfer,Garden,666,4,54.77,28.72,1,0.12,515.3,4,0,0,0,4.2
5859,Germany,Mobile,Direct,Debit Card,Sports,113,0,43.23,60.94,1,0.15,182.2,4,0,0,0,4.9
5860,Netherlands,Mobile,Direct,Bank Transfer,Home & Kitchen,317,1,41.36,35.16,1,0.45,479.4,5,0,0,0,4.6
5861,Netherlands,Mobile,Marketplace,Credit Card,Garden,330,2,30.52,39.17,1,0.16,745.4,4,0,0,0,5.0
5862,Netherlands,Mobile,Paid Ads,PayPal,Home & Kitchen,502,3,35.4,43.0,3,0.12,263.6,4,0,0,0,4.7
5863,Belgium,Mobile,Paid Ads,Bank Transfer,Home & Kitchen,504,1,58.13,52.12,2,0.06,941.7,5,0,0,0,4.6
5864,Netherlands,Tablet,Paid Ads,Bank Transfer,Beauty,185,1,48.1,21.4,1,0.19,84.3,5,0,0,0,4.5
5865,Turkey,Desktop,Social Media,Credit Card,Garden,355,1,19.71,43.48,1,0.01,210.7,3,0,0,0,4.5
5866,Netherlands,Desktop,Organic Search,Credit Card,Home & Kitchen,419,2,9.91,11.01,4,0.05,330.0,4,0,0,0,4.8
5867,Belgium,Mobile,Paid Ads,PayPal,Garden,655,2,89.7,59.84,1,0.52,273.7,3,0,0,0,3.6
5868,Germany,Mobile,Social Media,PayPal,Home & Kitchen,436,2,53.12,153.09,1,0.3,420.2,4,0,0,0,4.6
5869,Netherlands,Tablet,Marketplace,Bank Transfer,Electronics,348,1,38.62,58.51,1,0.01,306.1,4,0,0,0,4.6
5870,Poland,Tablet,Paid Ads,Debit Card,Home & Kitchen,557,3,26.64,35.01,1,0.04,667.6,6,1,0,0,2.8
5871,Netherlands,Desktop,Paid Ads,Credit Card,Home & Kitchen,999,4,33.53,33.25,2,0.07,384.9,4,0,0,0,4.6
5872,France,Desktop,Social Media,PayPal,Garden,529,3,28.17,33.11,1,0.22,830.6,6,0,0,0,4.3
5873,Netherlands,Mobile,Social Media,Credit Card,Garden,616,5,18.45,21.1,2,0.11,805.7,5,0,0,0,4.5
5874,Netherlands,Mobile,Marketplace,Credit Card,Beauty,243,1,39.52,37.95,4,0.05,1095.0,5,1,0,0,3.2
5875,Belgium,Mobile,Marketplace,Debit Card,Electronics,154,1,78.82,284.68,1,0.03,451.7,3,0,0,0,4.4
5876,Poland,Mobile,Email,Credit Card,Home & Kitchen,136,0,88.51,200.67,5,0.05,57.4,4,0,0,0,4.1
5877,France,Desktop,Paid Ads,Klarna,Toys,131,0,35.57,28.6,1,0.16,623.0,5,0,0,0,4.4
5878,Netherlands,Desktop,Paid Ads,PayPal,Home & Kitchen,57,1,113.17,133.49,1,0.11,294.7,4,0,0,0,4.7
5879,Netherlands,Mobile,Email,Debit Card,Home & Kitchen,289,1,55.92,95.1,1,0.01,492.2,4,0,0,0,4.8
